n,d_first,d_last,d_mean,tour_len,hop,E_excursion,E_tour,E_hover,M,Emax,K,seed
2,408.17194632946627,322.7938870883726,365.48291670891945,93.97075027048825,93.97075027048825,5482.243750633792,704.7806270286619,54.63219791206879,50,25000,4,6394530
4,131.7353038112792,183.60918731452415,245.98647995867663,499.8495986714104,166.61653289047013,2365.0836834435254,3748.8719900355777,81.42903347717005,50,25000,4,8372552
3,317.99780436260244,279.86735252790993,321.02350886078835,217.70270039627292,108.85135019813646,4483.988676678843,1632.7702529720468,84.98642562223075,50,25000,4,8372552
2,353.8846969729485,280.8106450989128,317.34767103593066,131.25231444552873,131.25231444552873,4760.21506553896,984.3923583414654,46.80167757459775,50,25000,4,8372552
5,331.5608556992596,93.44020521751663,207.56123997120116,373.3718509602558,93.34296274006395,3187.5079568758215,2800.2888822019186,82.86114168115381,50,25000,4,8372552
2,308.6951637360695,190.04151745898727,249.3683405975284,127.84514253406859,127.84514253406859,3740.525108962926,958.8385690055144,44.342660734694945,50,25000,5,4474730
2,290.61427166763707,243.3744858607561,266.9943787641966,72.27536210903217,72.27536210903217,4004.915681462949,542.0652158177413,30.297272920336006,50,25000,5,4474730
4,121.75443024662259,156.76310920803283,156.1019344646903,335.26179068077437,111.7539302269248,2088.881545909916,2514.4634301058077,127.37197739833528,50,25000,5,4474730
3,274.7349173874197,192.55300993764715,233.6695767841256,156.8275445601492,78.4137722800746,3504.6594549380015,1176.2065842011189,112.72054193726582,50,25000,5,4474730
3,185.14879995759392,179.34654506109607,190.41852964095423,179.19740624295392,89.59870312147696,2733.7150876401747,1343.9805468221543,92.55597863483199,50,25000,5,4474730
